# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0   3778     13      0      0      0      0    140     23 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60     39      0      0      0      0      0   2619   1500    100      0   3800     13      0      0      0      0      0     14 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60     47      0      0      0      0      0   2619   1500    100      0   3820     13      0      0      0      0     93    199 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     98     56     60     91      1      0      0      0      0   2619   1500    100      0   3848     13      0      0      0      0   2556    553 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      1 
    0    103     56     60      0      0      0      0      0      0   2619   1500    100      0   3764     13      0      0      0      0      0      2 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      1 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0   3836     13      0      0      0      0      1      2 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60     58      0      0      0      0      0   2619   1500    100      0   3778     13      0      0      0      0    136    333 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     91     56     60      6      0      0      0      0      0   2619   1500    100      0   3804     13      0      0      0      0      1      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60     73      0      0      0      0      0   2619   1500    100      0   3820     13      0      0      0      0    184      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     98     56     60     89      1      0      0      0      0   2619   1500    100      0   3848     13      0      0      0      0   3615    558 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0    103     56     60      0      0      0      0      0      0   2619   1500    100      0   3768     13      0      0      0      0      0      1 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0   3840     13      0      0      0      0      0      3 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0   3778     13      0      0      0      0     71     22 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0   3810     13      0      0      0      0    131     21 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60     47      0      0      0      0      0   2619   1500    100      0   3820     13      0      0      0      0     83      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0    101     56     60     88      1      0      0      0      0   2619   1500    100      0   3848     13      0      0      0      0   3776    467 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0    102     56     60      0      0      0      0      0      0   2619   1500    100      0   2540     13      0      0      0      0      5      1 
    1     88     49     53      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      1 
    0     93     56     60      0      0      0      0      0      0   2619   1500    100      0   1288      9      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     93     56     60      0      0      0      0      0      0   2619   1500    100      0    616      7      0      0      0      0      0     12 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      3      0      0      0      0      3      0 
    0     93     56     60      0      0      0      0      0      0   2619   1500    100      0   1150     11      0      0      0      0      1     20 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      1      0 
    0     93     56     60      0      0      0      0      0      0   2619   1500    100      0   1410     13      0      0      0      0      0     20 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      1      0 
    0     92     56     60      0      0      0      0      0      0   2619   1500    100      0   1658     13      0      0      0      0      6     29 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60      1      0      0      0      0      0   2619   1500    100      0   1972     13      0      0      0      0      0      1 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
