timestamp,total_mb,used_mb,free_mb,available_mb,buff_cache_mb,used_pct
2026-01-27_14:49:41.915,515635,26400,221166,484019,268068,5.11
2026-01-27_14:49:42.965,515635,26389,221177,484030,268068,5.11
2026-01-27_14:49:44.013,515635,26418,221148,484001,268068,5.12
2026-01-27_14:49:45.064,515635,26406,221160,484013,268068,5.12
2026-01-27_14:49:46.111,515635,26390,221178,484031,268066,5.11
2026-01-27_14:49:47.161,515635,26383,221206,484059,268045,5.11
2026-01-27_14:49:48.208,515635,26412,221160,484013,268062,5.12
2026-01-27_14:49:49.257,515635,26407,221159,484013,268068,5.12
2026-01-27_14:49:50.307,515635,26424,221142,483995,268068,5.12
2026-01-27_14:49:51.354,515635,26510,221056,483909,268068,5.14
2026-01-27_14:49:52.407,515635,26414,221152,484005,268068,5.12
2026-01-27_14:49:53.457,515635,26414,221152,484005,268068,5.12
2026-01-27_14:49:54.503,515635,26380,221186,484039,268068,5.11
2026-01-27_14:49:55.550,515635,26388,221195,484049,268051,5.11
2026-01-27_14:49:56.598,515635,26413,221153,484006,268068,5.12
2026-01-27_14:49:57.648,515635,26439,221127,483980,268068,5.12
2026-01-27_14:49:58.697,515635,26459,221107,483960,268068,5.13
2026-01-27_14:49:59.748,515635,26494,221072,483925,268068,5.13
2026-01-27_14:50:00.799,515635,26494,221072,483925,268068,5.13
2026-01-27_14:50:01.846,515635,26496,221070,483923,268068,5.13
2026-01-27_14:50:02.900,515635,26488,221109,483963,268036,5.13
2026-01-27_14:50:03.951,515635,26488,221090,483944,268055,5.13
2026-01-27_14:50:05.001,515635,26465,221101,483954,268068,5.13
2026-01-27_14:50:06.052,515635,26469,221097,483950,268068,5.13
2026-01-27_14:50:07.102,515635,26459,221107,483960,268068,5.13
2026-01-27_14:50:08.152,515635,26439,221127,483980,268068,5.12
2026-01-27_14:50:09.203,515635,26472,221094,483947,268068,5.13
2026-01-27_14:50:10.249,515635,26502,221066,483919,268066,5.13
2026-01-27_14:50:11.300,515635,26499,221095,483948,268039,5.13
2026-01-27_14:50:12.352,515635,26471,221102,483955,268060,5.13
2026-01-27_14:50:13.398,515635,26435,221131,483984,268068,5.12
2026-01-27_14:50:14.452,515635,26390,221176,484029,268068,5.11
2026-01-27_14:50:15.505,515635,26401,221166,484019,268068,5.12
2026-01-27_14:50:16.555,515635,26413,221153,484007,268068,5.12
2026-01-27_14:50:17.606,515635,26397,221169,484022,268068,5.11
2026-01-27_14:50:18.652,515635,26383,221197,484050,268054,5.11
2026-01-27_14:50:19.699,515635,26037,221601,484455,267996,5.04
2026-01-27_14:50:20.746,515635,25120,222532,485385,267982,4.87
2026-01-27_14:50:21.798,515635,25181,222471,485324,267982,4.88
2026-01-27_14:50:22.852,515635,25595,222047,484900,267992,4.96
2026-01-27_14:50:23.902,515635,25961,221672,484525,268002,5.03
2026-01-27_14:50:24.950,515635,25977,221655,484508,268002,5.03
2026-01-27_14:50:25.998,515635,26262,221354,484208,268018,5.09
2026-01-27_14:50:27.044,515635,26521,221089,483943,268024,5.14
2026-01-27_14:50:28.093,515635,26560,221036,483889,268038,5.15
2026-01-27_14:50:29.143,515635,26538,221044,483898,268051,5.14
2026-01-27_14:50:30.187,515635,26548,221018,483871,268068,5.14
2026-01-27_14:50:31.235,515635,26567,220982,483835,268085,5.15
2026-01-27_14:50:32.286,515635,26450,221098,483951,268085,5.12
2026-01-27_14:50:33.337,515635,26452,221096,483949,268085,5.12
2026-01-27_14:50:34.387,515635,26438,221110,483964,268085,5.12
2026-01-27_14:50:35.433,515635,26435,221114,483967,268085,5.12
2026-01-27_14:50:36.479,515635,26448,221101,483954,268085,5.12
2026-01-27_14:50:37.526,515635,26421,221128,483981,268085,5.12
2026-01-27_14:50:38.576,515635,26455,221122,483976,268057,5.13
2026-01-27_14:50:39.624,515635,26453,221107,483960,268074,5.13
2026-01-27_14:50:40.674,515635,26443,221106,483959,268085,5.12
2026-01-27_14:50:41.724,515635,26462,221087,483940,268085,5.13
2026-01-27_14:50:42.776,515635,26494,221054,483907,268085,5.13
2026-01-27_14:50:43.828,515635,26488,221061,483914,268085,5.13
2026-01-27_14:50:44.878,515635,26494,221054,483908,268085,5.13
2026-01-27_14:50:45.929,515635,26460,221091,483944,268083,5.13
2026-01-27_14:50:46.978,515635,26439,221149,484002,268045,5.12
2026-01-27_14:50:48.028,515635,26457,221114,483968,268063,5.13
2026-01-27_14:50:49.078,515635,26482,221068,483921,268084,5.13
2026-01-27_14:50:50.128,515635,26454,221095,483948,268085,5.13
2026-01-27_14:50:51.178,515635,26451,221098,483951,268085,5.12
2026-01-27_14:50:52.226,515635,26480,221068,483921,268085,5.13
2026-01-27_14:50:53.278,515635,26498,221050,483903,268085,5.13
2026-01-27_14:50:54.327,515635,26469,221079,483933,268085,5.13
2026-01-27_14:50:55.375,515635,26457,221091,483945,268085,5.13
2026-01-27_14:50:56.424,515635,26497,221082,483935,268055,5.13
2026-01-27_14:50:57.476,515635,26499,221063,483916,268072,5.13
2026-01-27_14:50:58.524,515635,26498,221051,483904,268085,5.13
2026-01-27_14:50:59.574,515635,26483,221066,483919,268085,5.13
2026-01-27_14:51:00.627,515635,26480,221069,483922,268085,5.13
2026-01-27_14:51:01.678,515635,26453,221096,483949,268085,5.13
2026-01-27_14:51:02.729,515635,26465,221083,483937,268085,5.13
2026-01-27_14:51:03.780,515635,26506,221046,483900,268081,5.14
2026-01-27_14:51:04.829,515635,26504,221085,483938,268045,5.14
2026-01-27_14:51:05.877,515635,26483,221088,483941,268063,5.13
2026-01-27_14:51:06.927,515635,26481,221073,483926,268080,5.13
2026-01-27_14:51:07.976,515635,26452,221097,483950,268085,5.12
2026-01-27_14:51:09.028,515635,26427,221122,483975,268085,5.12
2026-01-27_14:51:10.079,515635,26413,221136,483989,268085,5.12
2026-01-27_14:51:11.130,515635,26447,221101,483954,268085,5.12
2026-01-27_14:51:12.180,515635,26451,221098,483951,268085,5.12
2026-01-27_14:51:13.228,515635,26459,221092,483945,268083,5.13
2026-01-27_14:51:14.279,515635,26519,221064,483917,268051,5.14
2026-01-27_14:51:15.330,515635,26537,221029,483882,268068,5.14
2026-01-27_14:51:16.379,515635,26550,220999,483852,268085,5.14
2026-01-27_14:51:17.431,515635,26551,220998,483851,268085,5.14
2026-01-27_14:51:18.483,515635,26540,221008,483862,268085,5.14
2026-01-27_14:51:19.533,515635,26527,221022,483875,268085,5.14
2026-01-27_14:51:20.580,515635,26494,221054,483908,268085,5.13
2026-01-27_14:51:21.627,515635,26490,221059,483912,268085,5.13
2026-01-27_14:51:22.678,515635,26506,221090,483943,268038,5.14
2026-01-27_14:51:23.723,515635,26546,221027,483880,268061,5.14
2026-01-27_14:51:24.776,515635,26506,221049,483902,268079,5.14
2026-01-27_14:51:25.823,515635,26512,221037,483890,268085,5.14
2026-01-27_14:51:26.874,515635,26444,221105,483958,268085,5.12
2026-01-27_14:51:27.922,515635,26449,221099,483952,268085,5.12
2026-01-27_14:51:28.974,515635,26452,221096,483949,268085,5.12
2026-01-27_14:51:30.025,515635,26471,221077,483930,268085,5.13
2026-01-27_14:51:31.072,515635,26457,221094,483947,268083,5.13
2026-01-27_14:51:32.118,515635,26482,221101,483954,268051,5.13
2026-01-27_14:51:33.166,515635,26466,221100,483953,268068,5.13
2026-01-27_14:51:34.217,515635,26449,221099,483952,268085,5.12
2026-01-27_14:51:35.267,515635,26440,221109,483962,268085,5.12
2026-01-27_14:51:36.315,515635,26456,221093,483946,268085,5.13
2026-01-27_14:51:37.362,515635,26452,221097,483950,268085,5.12
2026-01-27_14:51:38.413,515635,26409,221139,483992,268085,5.12
2026-01-27_14:51:39.462,515635,26432,221116,483969,268085,5.12
2026-01-27_14:51:40.508,515635,26446,221150,484003,268038,5.12
2026-01-27_14:51:41.559,515635,26425,221152,484005,268057,5.12
2026-01-27_14:51:42.609,515635,26379,221177,484030,268078,5.11
2026-01-27_14:51:43.659,515635,26363,221185,484038,268085,5.11
2026-01-27_14:51:44.712,515635,26377,221172,484025,268085,5.11
2026-01-27_14:51:45.764,515635,26370,221178,484032,268085,5.11
2026-01-27_14:51:46.814,515635,26396,221153,484006,268085,5.11
2026-01-27_14:51:47.864,515635,26428,221120,483974,268085,5.12
2026-01-27_14:51:48.913,515635,26437,221114,483967,268083,5.12
2026-01-27_14:51:49.961,515635,26449,221135,483988,268049,5.12
2026-01-27_14:51:51.009,515635,26423,221143,483996,268068,5.12
2026-01-27_14:51:52.057,515635,26465,221083,483936,268085,5.13
2026-01-27_14:51:53.109,515635,26532,221017,483870,268085,5.14
2026-01-27_14:51:54.163,515635,26540,221008,483861,268085,5.14
2026-01-27_14:51:55.213,515635,26540,221009,483862,268085,5.14
2026-01-27_14:51:56.266,515635,26579,220969,483823,268085,5.15
2026-01-27_14:51:57.315,515635,26545,221003,483857,268085,5.14
2026-01-27_14:51:58.367,515635,26155,221440,484293,268040,5.07
2026-01-27_14:51:59.418,515635,25386,222256,485109,267992,4.92
2026-01-27_14:52:00.469,515635,24875,222777,485630,267982,4.82
2026-01-27_14:52:01.520,515635,25194,222458,485311,267982,4.88
