timestamp,gpu_index,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz
2026-01-27_14:47:26.943,0, 94, 0, 2504, 95830, 107.98, 56, 1500, 2619
2026-01-27_14:47:26.943,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:47:28.013,0, 0, 0, 2056, 95830, 103.23, 56, 1500, 2619
2026-01-27_14:47:28.013,1, 0, 0, 88, 95830, 87.43, 45, 1500, 2619
2026-01-27_14:47:29.115,0, 1, 0, 1352, 95830, 93.45, 56, 1500, 2619
2026-01-27_14:47:29.115,1, 0, 0, 88, 95830, 87.46, 45, 1500, 2619
2026-01-27_14:47:30.296,0, 0, 0, 680, 95830, 93.45, 56, 1500, 2619
2026-01-27_14:47:30.296,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:47:31.359,0, 0, 0, 698, 95830, 93.03, 56, 1500, 2619
2026-01-27_14:47:31.359,1, 0, 0, 88, 95830, 87.63, 45, 1500, 2619
2026-01-27_14:47:32.516,0, 0, 0, 1219, 95830, 93.31, 56, 1500, 2619
2026-01-27_14:47:32.516,1, 0, 0, 88, 95830, 87.56, 45, 1500, 2619
2026-01-27_14:47:33.596,0, 0, 0, 1476, 95830, 93.14, 55, 1500, 2619
2026-01-27_14:47:33.596,1, 0, 0, 88, 95830, 87.46, 45, 1500, 2619
2026-01-27_14:47:34.760,0, 1, 0, 1942, 95830, 93.07, 55, 1500, 2619
2026-01-27_14:47:34.760,1, 0, 0, 88, 95830, 87.48, 45, 1500, 2619
2026-01-27_14:47:35.831,0, 0, 0, 2070, 95830, 91.13, 55, 1500, 2619
2026-01-27_14:47:35.831,1, 0, 0, 88, 95830, 87.41, 45, 1500, 2619
2026-01-27_14:47:36.898,0, 31, 0, 2912, 95830, 91.14, 55, 1500, 2619
2026-01-27_14:47:36.898,1, 0, 0, 88, 95830, 87.48, 45, 1500, 2619
2026-01-27_14:47:37.982,0, 18, 0, 2928, 95830, 91.11, 55, 1500, 2619
2026-01-27_14:47:37.982,1, 0, 0, 88, 95830, 87.45, 45, 1500, 2619
2026-01-27_14:47:39.051,0, 93, 0, 2932, 95830, 107.88, 56, 1500, 2619
2026-01-27_14:47:39.051,1, 0, 0, 88, 95830, 87.45, 45, 1500, 2619
2026-01-27_14:47:40.122,0, 94, 0, 2932, 95830, 110.83, 56, 1500, 2619
2026-01-27_14:47:40.122,1, 0, 0, 88, 95830, 87.35, 45, 1500, 2619
2026-01-27_14:47:41.189,0, 94, 0, 2932, 95830, 111.39, 56, 1500, 2619
2026-01-27_14:47:41.189,1, 0, 0, 88, 95830, 87.35, 45, 1500, 2619
2026-01-27_14:47:42.255,0, 92, 0, 2932, 95830, 111.19, 56, 1500, 2619
2026-01-27_14:47:42.255,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:47:43.321,0, 91, 0, 2932, 95830, 111.26, 56, 1500, 2619
2026-01-27_14:47:43.321,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:47:44.389,0, 63, 0, 2918, 95830, 95.18, 56, 1500, 2619
2026-01-27_14:47:44.389,1, 0, 0, 88, 95830, 87.45, 45, 1500, 2619
2026-01-27_14:47:45.458,0, 58, 0, 2932, 95830, 91.52, 56, 1500, 2619
2026-01-27_14:47:45.458,1, 0, 0, 88, 95830, 87.45, 45, 1500, 2619
2026-01-27_14:47:46.525,0, 93, 0, 2932, 95830, 111.23, 56, 1500, 2619
2026-01-27_14:47:46.525,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:47:47.592,0, 94, 0, 2932, 95830, 111.25, 56, 1500, 2619
2026-01-27_14:47:47.592,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:47:48.658,0, 94, 0, 2932, 95830, 111.58, 56, 1500, 2619
2026-01-27_14:47:48.658,1, 0, 0, 88, 95830, 87.35, 45, 1500, 2619
2026-01-27_14:47:49.723,0, 92, 0, 2932, 95830, 111.54, 56, 1500, 2619
2026-01-27_14:47:49.723,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:47:50.789,0, 92, 0, 2872, 95830, 111.03, 56, 1500, 2619
2026-01-27_14:47:50.789,1, 0, 0, 88, 95830, 87.29, 45, 1500, 2619
2026-01-27_14:47:51.861,0, 6, 0, 2918, 95830, 91.28, 56, 1500, 2619
2026-01-27_14:47:51.861,1, 0, 0, 88, 95830, 87.45, 45, 1500, 2619
2026-01-27_14:47:52.945,0, 95, 0, 2932, 95830, 97.14, 56, 1500, 2619
2026-01-27_14:47:52.945,1, 0, 0, 88, 95830, 87.44, 45, 1500, 2619
2026-01-27_14:47:54.012,0, 92, 0, 2932, 95830, 111.47, 56, 1500, 2619
2026-01-27_14:47:54.012,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:47:55.079,0, 94, 0, 2932, 95830, 111.18, 56, 1500, 2619
2026-01-27_14:47:55.079,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:47:56.145,0, 94, 0, 2932, 95830, 111.41, 56, 1500, 2619
2026-01-27_14:47:56.145,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:47:57.212,0, 94, 0, 2932, 95830, 111.59, 56, 1500, 2619
2026-01-27_14:47:57.212,1, 0, 0, 88, 95830, 87.32, 45, 1500, 2619
2026-01-27_14:47:58.280,0, 28, 0, 2912, 95830, 107.27, 56, 1500, 2619
2026-01-27_14:47:58.280,1, 0, 0, 88, 95830, 87.40, 45, 1500, 2619
2026-01-27_14:47:59.348,0, 70, 0, 2922, 95830, 91.41, 56, 1500, 2619
2026-01-27_14:47:59.348,1, 0, 0, 88, 95830, 87.42, 45, 1500, 2619
2026-01-27_14:48:00.431,0, 93, 0, 2932, 95830, 102.88, 56, 1500, 2619
2026-01-27_14:48:00.431,1, 0, 0, 88, 95830, 87.39, 45, 1500, 2619
2026-01-27_14:48:01.501,0, 92, 0, 2932, 95830, 110.99, 56, 1500, 2619
2026-01-27_14:48:01.501,1, 0, 0, 88, 95830, 87.37, 45, 1500, 2619
2026-01-27_14:48:02.569,0, 94, 0, 2932, 95830, 110.78, 57, 1500, 2619
2026-01-27_14:48:02.569,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:48:03.638,0, 93, 0, 2932, 95830, 110.64, 57, 1500, 2619
2026-01-27_14:48:03.638,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:48:04.706,0, 92, 0, 2932, 95830, 110.86, 57, 1500, 2619
2026-01-27_14:48:04.706,1, 0, 0, 88, 95830, 87.33, 45, 1500, 2619
2026-01-27_14:48:05.773,0, 0, 0, 2912, 95830, 101.15, 56, 1500, 2619
2026-01-27_14:48:05.773,1, 0, 0, 88, 95830, 87.43, 45, 1500, 2619
2026-01-27_14:48:06.848,0, 0, 0, 2928, 95830, 91.51, 56, 1500, 2619
2026-01-27_14:48:06.848,1, 0, 0, 88, 95830, 87.49, 45, 1500, 2619
2026-01-27_14:48:07.928,0, 94, 0, 2932, 95830, 109.89, 57, 1500, 2619
